Date,Total Individuals in Shelter,Easter,Thanksgiving,Christmas,Temperature
1/1/2014,50689,0,0,0,2.17
1/2/2014,50797,0,0,0,2.51
1/3/2014,50954,0,0,0,-6.35
1/4/2014,50957,0,0,0,-1.27
1/5/2014,50957,0,0,0,7.18
1/6/2014,50910,0,0,0,9.89
1/7/2014,51082,0,0,0,-6.95
1/8/2014,51319,0,0,0,-4.06
1/9/2014,51352,0,0,0,-0.77
1/10/2014,51125,0,0,0,4.83
1/11/2014,51054,0,0,0,11.14
1/12/2014,51261,0,0,0,8.72
1/13/2014,51345,0,0,0,7.94
1/14/2014,51227,0,0,0,7.21
1/15/2014,51344,0,0,0,5.08
1/16/2014,51413,0,0,0,4.62
1/17/2014,51371,0,0,0,5.87
1/18/2014,51319,0,0,0,5.24
1/19/2014,51472,0,0,0,3.47
1/20/2014,51585,0,0,0,6.37
1/21/2014,51649,0,0,0,-1.25
1/22/2014,51809,0,0,0,-6.63
1/23/2014,51882,0,0,0,-5.62
1/24/2014,51907,0,0,0,-5.32
1/25/2014,51927,0,0,0,-0.89
1/26/2014,52121,0,0,0,0.39
1/27/2014,52168,0,0,0,4.82
1/28/2014,52178,0,0,0,-5.28
1/29/2014,52247,0,0,0,-3.99
1/30/2014,52231,0,0,0,-2.2
1/31/2014,51909,0,0,0,3.32
2/1/2014,51668,0,0,0,4.73
2/2/2014,51724,0,0,0,6.84
2/3/2014,51943,0,0,0,2.93
2/4/2014,52077,0,0,0,0.82
2/5/2014,52137,0,0,0,1.82
2/6/2014,52199,0,0,0,-0.95
2/7/2014,52162,0,0,0,-1.11
2/8/2014,51992,0,0,0,-2.83
2/9/2014,52084,0,0,0,-2.13
2/10/2014,52164,0,0,0,-2.7
2/11/2014,52166,0,0,0,-4.44
2/12/2014,52137,0,0,0,-1.13
2/13/2014,52319,0,0,0,1.54
2/14/2014,52153,0,0,0,2.26
2/15/2014,52069,0,0,0,1.79
2/16/2014,52165,0,0,0,-2.49
2/17/2014,52270,0,0,0,-2.17
2/18/2014,52325,0,0,0,2.58
2/19/2014,52261,0,0,0,3.9
2/20/2014,52171,0,0,0,4.53
2/21/2014,52093,0,0,0,6.76
2/22/2014,52074,0,0,0,7.64
2/23/2014,52249,0,0,0,8.79
2/24/2014,52301,0,0,0,3.24
2/25/2014,52261,0,0,0,-0.08
2/26/2014,52338,0,0,0,0.12
2/27/2014,52354,0,0,0,0.58
2/28/2014,52184,0,0,0,-4.9
3/1/2014,52167,0,0,0,1.61
3/2/2014,52295,0,0,0,2.5
3/3/2014,52271,0,0,0,-1.17
3/4/2014,52118,0,0,0,-2.67
3/5/2014,52128,0,0,0,2.32
3/6/2014,52128,0,0,0,-1.86
3/7/2014,52070,0,0,0,2.36
3/8/2014,52031,0,0,0,9.01
3/9/2014,52211,0,0,0,4.93
3/10/2014,52157,0,0,0,6.95
3/11/2014,52010,0,0,0,12.22
3/12/2014,52147,0,0,0,8.99
3/13/2014,52147,0,0,0,-1.89
3/14/2014,52071,0,0,0,4.75
3/15/2014,52011,0,0,0,10.09
3/16/2014,52253,0,0,0,2.49
3/17/2014,52293,0,0,0,0.06
3/18/2014,52232,0,0,0,3.24
3/19/2014,52299,0,0,0,5.35
3/20/2014,52270,0,0,0,8.29
3/21/2014,52152,0,0,0,7.69
3/22/2014,52162,0,0,0,10.99
3/23/2014,52389,0,0,0,3.94
3/24/2014,52407,0,0,0,0.57
3/25/2014,52367,0,0,0,2.29
3/26/2014,52422,0,0,0,1.66
3/27/2014,52425,0,0,0,3.58
3/28/2014,52286,0,0,0,10.08
3/29/2014,52328,0,0,0,8.01
3/30/2014,52495,0,0,0,8.73
3/31/2014,52420,0,0,0,8.77
4/1/2014,52169,0,0,0,9.91
4/2/2014,53345,0,0,0,8.16
4/3/2014,53274,0,0,0,13.08
4/4/2014,53288,0,0,0,6.56
4/5/2014,53276,0,0,0,9.37
4/6/2014,53511,0,0,0,9.43
4/7/2014,53540,0,0,0,7.24
4/8/2014,52309,0,0,0,11.75
4/9/2014,52319,0,0,0,11.29
4/10/2014,52302,0,0,0,9.95
4/11/2014,52271,0,0,0,14.4
4/12/2014,52254,0,0,0,15.36
4/13/2014,52462,0,0,0,14.61
4/14/2014,52438,0,0,0,14.26
4/15/2014,52487,0,0,0,13.05
4/16/2014,52585,0,0,0,6.73
4/17/2014,52566,0,0,0,6.37
4/18/2014,52430,0,0,0,5.71
4/19/2014,52428,0,0,0,13.44
4/20/2014,52591,1,0,0,9.37
4/21/2014,52613,0,0,0,11.62
4/22/2014,52516,0,0,0,12.88
4/23/2014,52615,0,0,0,11.89
4/24/2014,52602,0,0,0,12.13
4/25/2014,52510,0,0,0,10.76
4/26/2014,52583,0,0,0,14.81
4/27/2014,52740,0,0,0,11.86
4/28/2014,52804,0,0,0,13.98
4/29/2014,52807,0,0,0,8.58
4/30/2014,52807,0,0,0,10.8
5/1/2014,52685,0,0,0,16.25
5/2/2014,52536,0,0,0,15.01
5/3/2014,52517,0,0,0,14.6
5/4/2014,52748,0,0,0,14.04
5/5/2014,52839,0,0,0,14.82
5/6/2014,52793,0,0,0,15.58
5/7/2014,52835,0,0,0,14.24
5/8/2014,52919,0,0,0,14.51
5/9/2014,52867,0,0,0,14.96
5/10/2014,52887,0,0,0,19.89
5/11/2014,53030,0,0,0,19.85
5/12/2014,53118,0,0,0,19.5
5/13/2014,53106,0,0,0,16.08
5/14/2014,53195,0,0,0,14.22
5/15/2014,53242,0,0,0,17.9
5/16/2014,53121,0,0,0,16.19
5/17/2014,53198,0,0,0,16.67
5/18/2014,53402,0,0,0,15.9
5/19/2014,53393,0,0,0,17.23
5/20/2014,53339,0,0,0,19.8
5/21/2014,53419,0,0,0,19.44
5/22/2014,53377,0,0,0,16.83
5/23/2014,53330,0,0,0,17.48
5/24/2014,53243,0,0,0,16.76
5/25/2014,53247,0,0,0,21.17
5/26/2014,53265,0,0,0,22.38
5/27/2014,53341,0,0,0,22.77
5/28/2014,53327,0,0,0,18.69
5/29/2014,53310,0,0,0,14.5
5/30/2014,53212,0,0,0,18.28
5/31/2014,53197,0,0,0,18.02
6/1/2014,53383,0,0,0,20.11
6/2/2014,53374,0,0,0,20.46
6/3/2014,53324,0,0,0,22.39
6/4/2014,53320,0,0,0,21.89
6/5/2014,53352,0,0,0,20.59
6/6/2014,53344,0,0,0,21.05
6/7/2014,53336,0,0,0,23.28
6/8/2014,53505,0,0,0,23.02
6/9/2014,53513,0,0,0,19.91
6/10/2014,53481,0,0,0,21.26
6/11/2014,53544,0,0,0,18.87
6/12/2014,53595,0,0,0,20.23
6/13/2014,53586,0,0,0,21.46
6/14/2014,53547,0,0,0,21.38
6/15/2014,53630,0,0,0,22.23
6/16/2014,53754,0,0,0,21.86
6/17/2014,53650,0,0,0,24.76
6/18/2014,53767,0,0,0,26.62
6/19/2014,53835,0,0,0,22.26
6/20/2014,53719,0,0,0,22.78
6/21/2014,53733,0,0,0,20.7
6/22/2014,53894,0,0,0,21.82
6/23/2014,53894,0,0,0,22.9
6/24/2014,53894,0,0,0,22.9
6/25/2014,53894,0,0,0,23.95
6/26/2014,53894,0,0,0,26.5
6/27/2014,53736,0,0,0,23.8
6/28/2014,53804,0,0,0,24.83
6/29/2014,53986,0,0,0,23.48
6/30/2014,53928,0,0,0,24.33
7/1/2014,53742,0,0,0,26.05
7/2/2014,53635,0,0,0,25.56
7/3/2014,53658,0,0,0,26.04
7/4/2014,53608,0,0,0,22.93
7/5/2014,53717,0,0,0,24.31
7/6/2014,53892,0,0,0,24.85
7/7/2014,53927,0,0,0,26.25
7/8/2014,53968,0,0,0,26.78
7/9/2014,54091,0,0,0,25.65
7/10/2014,54102,0,0,0,24.69
7/11/2014,54145,0,0,0,25.43
7/12/2014,54125,0,0,0,24.76
7/13/2014,54395,0,0,0,25.12
7/14/2014,54417,0,0,0,25.06
7/15/2014,54439,0,0,0,25.42
7/16/2014,54404,0,0,0,24.01
7/17/2014,54427,0,0,0,24.43
7/18/2014,54374,0,0,0,25.12
7/19/2014,54421,0,0,0,23.21
7/20/2014,54602,0,0,0,22.36
7/21/2014,54581,0,0,0,25.48
7/22/2014,54421,0,0,0,26.31
7/23/2014,54605,0,0,0,26.37
7/24/2014,54706,0,0,0,25.3
7/25/2014,54602,0,0,0,25.55
7/26/2014,54554,0,0,0,25.15
7/27/2014,54783,0,0,0,26.49
7/28/2014,54860,0,0,0,26.44
7/29/2014,54763,0,0,0,24.05
7/30/2014,54759,0,0,0,24.59
7/31/2014,54742,0,0,0,25.5
8/1/2014,54467,0,0,0,24.78
8/2/2014,54471,0,0,0,22.26
8/3/2014,54712,0,0,0,22.87
8/4/2014,54765,0,0,0,26.33
8/5/2014,54645,0,0,0,27.17
8/6/2014,54711,0,0,0,26.65
8/7/2014,54737,0,0,0,26.12
8/8/2014,54726,0,0,0,26.1
8/9/2014,54648,0,0,0,26.82
8/10/2014,54945,0,0,0,27.26
8/11/2014,54855,0,0,0,25.96
8/12/2014,54851,0,0,0,24.59
8/13/2014,54801,0,0,0,26.29
8/14/2014,54793,0,0,0,24.43
8/15/2014,54730,0,0,0,23.13
8/16/2014,54617,0,0,0,24.21
8/17/2014,54830,0,0,0,25.75
8/18/2014,54874,0,0,0,25.31
8/19/2014,54889,0,0,0,24.72
8/20/2014,54920,0,0,0,24.65
8/21/2014,54964,0,0,0,24.28
8/22/2014,54944,0,0,0,23.14
8/23/2014,54930,0,0,0,23.04
8/24/2014,55097,0,0,0,23.98
8/25/2014,55076,0,0,0,26.91
8/26/2014,54979,0,0,0,25.48
8/27/2014,55025,0,0,0,27.29
8/28/2014,55036,0,0,0,26.14
8/29/2014,54873,0,0,0,23.33
8/30/2014,54929,0,0,0,23.98
8/31/2014,55029,0,0,0,26.9
9/1/2014,55174,0,0,0,27.32
9/2/2014,55221,0,0,0,28.72
9/3/2014,55050,0,0,0,27.33
9/4/2014,55222,0,0,0,27.01
9/5/2014,55222,0,0,0,26.75
9/6/2014,55342,0,0,0,28.16
9/7/2014,55498,0,0,0,25.43
9/8/2014,55616,0,0,0,23.19
9/9/2014,55552,0,0,0,22.65
9/10/2014,55728,0,0,0,23.28
9/11/2014,55727,0,0,0,25.9
9/12/2014,55768,0,0,0,24.1
9/13/2014,55784,0,0,0,20.84
9/14/2014,56082,0,0,0,19.9
9/15/2014,56014,0,0,0,20.63
9/16/2014,56034,0,0,0,19.68
9/17/2014,56017,0,0,0,21.32
9/18/2014,56112,0,0,0,23.23
9/19/2014,56145,0,0,0,18.71
9/20/2014,56108,0,0,0,22.25
9/21/2014,56288,0,0,0,22.74
9/22/2014,56348,0,0,0,21.93
9/23/2014,56219,0,0,0,19.65
9/24/2014,56285,0,0,0,20.68
9/25/2014,56220,0,0,0,18.23
9/26/2014,56143,0,0,0,23.02
9/27/2014,56190,0,0,0,25.15
9/28/2014,56373,0,0,0,24.56
9/29/2014,56373,0,0,0,22.74
9/30/2014,56373,0,0,0,20.72
10/1/2014,56373,0,0,0,18.86
10/2/2014,56373,0,0,0,19.36
10/3/2014,56274,0,0,0,18.76
10/4/2014,56329,0,0,0,21.27
10/5/2014,56676,0,0,0,16.31
10/6/2014,56676,0,0,0,19.58
10/7/2014,56676,0,0,0,21.02
10/8/2014,56676,0,0,0,21.69
10/9/2014,56676,0,0,0,19.48
10/10/2014,56701,0,0,0,17.08
10/11/2014,56749,0,0,0,14.6
10/12/2014,56934,0,0,0,16.08
10/13/2014,56934,0,0,0,18.65
10/14/2014,56934,0,0,0,21.76
10/15/2014,57060,0,0,0,22.25
10/16/2014,56992,0,0,0,20.28
10/17/2014,56993,0,0,0,20.51
10/18/2014,57115,0,0,0,20.54
10/19/2014,57328,0,0,0,13.72
10/20/2014,57343,0,0,0,15.34
10/21/2014,57323,0,0,0,18.2
10/22/2014,57390,0,0,0,15.19
10/23/2014,57432,0,0,0,12.51
10/24/2014,57364,0,0,0,16.69
10/25/2014,57343,0,0,0,18.13
10/26/2014,57548,0,0,0,16.43
10/27/2014,57490,0,0,0,16.41
10/28/2014,57480,0,0,0,18.83
10/29/2014,57540,0,0,0,18.87
10/30/2014,57586,0,0,0,14.51
10/31/2014,57530,0,0,0,12.98
11/1/2014,57551,0,0,0,11.12
11/2/2014,57645,0,0,0,9.61
11/3/2014,57665,0,0,0,14.83
11/4/2014,57729,0,0,0,17.2
11/5/2014,57646,0,0,0,15.64
11/6/2014,57648,0,0,0,14
11/7/2014,57676,0,0,0,11.19
11/8/2014,57878,0,0,0,8.99
11/9/2014,58054,0,0,0,13.21
11/10/2014,58032,0,0,0,14.08
11/11/2014,58060,0,0,0,15.91
11/12/2014,58143,0,0,0,17.16
11/13/2014,58174,0,0,0,8.77
11/14/2014,58139,0,0,0,6.58
11/15/2014,58258,0,0,0,5.98
11/16/2014,58326,0,0,0,7.89
11/17/2014,58351,0,0,0,13.48
11/18/2014,58354,0,0,0,6.28
11/19/2014,58477,0,0,0,3.85
11/20/2014,58562,0,0,0,8.11
11/21/2014,58532,0,0,0,3.08
11/22/2014,58491,0,0,0,6.07
11/23/2014,58469,0,0,0,11.64
11/24/2014,58504,0,0,0,16.65
11/25/2014,58525,0,0,0,14.26
11/26/2014,58493,0,0,0,8.89
11/27/2014,58457,0,1,0,3.98
11/28/2014,58535,0,0,0,2.88
11/29/2014,58521,0,0,0,6.87
11/30/2014,58555,0,0,0,10.89
12/1/2014,58484,0,0,0,13.19
12/2/2014,58506,0,0,0,10.08
12/3/2014,58652,0,0,0,10.76
12/4/2014,58741,0,0,0,6.66
12/5/2014,58706,0,0,0,9.75
12/6/2014,58700,0,0,0,10.67
12/7/2014,58853,0,0,0,5.05
12/8/2014,58898,0,0,0,4.82
12/9/2014,58939,0,0,0,5.23
12/10/2014,58945,0,0,0,4.88
12/11/2014,58959,0,0,0,2.55
12/12/2014,58915,0,0,0,3.63
12/13/2014,58870,0,0,0,5.48
12/14/2014,59019,0,0,0,7.23
12/15/2014,59032,0,0,0,6.63
12/16/2014,58959,0,0,0,8.62
12/17/2014,59068,0,0,0,10.11
12/18/2014,59050,0,0,0,5.61
12/19/2014,58929,0,0,0,3.65
12/20/2014,58820,0,0,0,1.01
12/21/2014,58944,0,0,0,3.05
12/22/2014,58913,0,0,0,7.58
12/23/2014,58736,0,0,0,8.88
12/24/2014,58499,0,0,0,12.69
12/25/2014,58549,0,0,1,11.77
12/26/2014,58586,0,0,0,7.97
12/27/2014,58504,0,0,0,9.52
12/28/2014,58516,0,0,0,9.28
12/29/2014,58541,0,0,0,5.1
12/30/2014,58310,0,0,0,0.8
12/31/2014,57941,0,0,0,0.26
1/1/2015,58142,0,0,0,3.68
1/2/2015,58180,0,0,0,4.73
1/3/2015,58172,0,0,0,7.23
1/4/2015,58330,0,0,0,10.96
1/5/2015,58369,0,0,0,6.92
1/6/2015,58352,0,0,0,-3.54
1/7/2015,58474,0,0,0,-3.44
1/8/2015,58551,0,0,0,-4.55
1/9/2015,58428,0,0,0,1.08
1/10/2015,58487,0,0,0,-3.83
1/11/2015,58583,0,0,0,2.59
1/12/2015,58643,0,0,0,3.89
1/13/2015,58628,0,0,0,2.14
1/14/2015,58640,0,0,0,0.65
1/15/2015,58667,0,0,0,0.4
1/16/2015,58624,0,0,0,3.63
1/17/2015,58520,0,0,0,0.44
1/18/2015,58644,0,0,0,7.33
1/19/2015,58691,0,0,0,4.65
1/20/2015,58714,0,0,0,3
1/21/2015,58645,0,0,0,0.94
1/22/2015,58655,0,0,0,2.73
1/23/2015,58545,0,0,0,2.24
1/24/2015,58472,0,0,0,2.11
1/25/2015,58627,0,0,0,3.46
1/26/2015,58602,0,0,0,-1.17
1/27/2015,58732,0,0,0,-2.76
1/28/2015,58723,0,0,0,-1.77
1/29/2015,58614,0,0,0,1.78
1/30/2015,58506,0,0,0,1.77
1/31/2015,58413,0,0,0,-4.94
2/1/2015,58479,0,0,0,1.2
2/2/2015,58587,0,0,0,3.97
2/3/2015,58485,0,0,0,-4.13
2/4/2015,58485,0,0,0,3.4
2/5/2015,58350,0,0,0,2.72
2/6/2015,58346,0,0,0,-3.02
2/7/2015,58262,0,0,0,2.3
2/8/2015,58429,0,0,0,3.73
2/9/2015,58429,0,0,0,-0.22
2/10/2015,58329,0,0,0,0.94
2/11/2015,58288,0,0,0,-1.42
2/12/2015,58267,0,0,0,2.39
2/13/2015,58230,0,0,0,-6.91
2/14/2015,58089,0,0,0,0.23
2/15/2015,58210,0,0,0,-3.61
2/16/2015,58292,0,0,0,-7.13
2/17/2015,58344,0,0,0,-4.26
2/18/2015,58284,0,0,0,-1.42
2/19/2015,58269,0,0,0,-2.69
2/20/2015,58211,0,0,0,-7.57
2/21/2015,58104,0,0,0,0.7
2/22/2015,58156,0,0,0,2
2/23/2015,58142,0,0,0,0.65
2/24/2015,58073,0,0,0,-2.97
2/25/2015,58083,0,0,0,0.98
2/26/2015,57975,0,0,0,-2.84
2/27/2015,57927,0,0,0,-2.76
2/28/2015,57839,0,0,0,-2.75
3/1/2015,57961,0,0,0,-0.67
3/2/2015,57963,0,0,0,0.68
3/3/2015,57819,0,0,0,1.48
3/4/2015,57909,0,0,0,2.87
3/5/2015,57872,0,0,0,1.73
3/6/2015,57866,0,0,0,-4.74
3/7/2015,57911,0,0,0,1.45
3/8/2015,57969,0,0,0,4.35
3/9/2015,58027,0,0,0,7.15
3/10/2015,57783,0,0,0,5.8
3/11/2015,57821,0,0,0,9.4
3/12/2015,57775,0,0,0,5.57
3/13/2015,57775,0,0,0,2.87
3/14/2015,57775,0,0,0,6.87
3/15/2015,57775,0,0,0,5.69
3/16/2015,57757,0,0,0,6.3
3/17/2015,57718,0,0,0,9.65
3/18/2015,57720,0,0,0,2.21
3/19/2015,57655,0,0,0,3.37
3/20/2015,57624,0,0,0,1.71
3/21/2015,57528,0,0,0,5.9
3/22/2015,57675,0,0,0,3.55
3/23/2015,57622,0,0,0,2.05
3/24/2015,57536,0,0,0,3.67
3/25/2015,57557,0,0,0,5.26
3/26/2015,57405,0,0,0,9.88
3/27/2015,57303,0,0,0,7.16
3/28/2015,57191,0,0,0,2.62
3/29/2015,57330,0,0,0,4.52
3/30/2015,57333,0,0,0,8.05
3/31/2015,57166,0,0,0,5.35
4/1/2015,57089,0,0,0,7.05
4/2/2015,57047,0,0,0,9.86
4/3/2015,57001,0,0,0,11.81
4/4/2015,57034,0,0,0,11.11
4/5/2015,57181,1,0,0,11.42
4/6/2015,57147,0,0,0,11.46
4/7/2015,57025,0,0,0,11.79
4/8/2015,57125,0,0,0,6.01
4/9/2015,57201,0,0,0,4.86
4/10/2015,57014,0,0,0,11.38
4/11/2015,56954,0,0,0,10.59
4/12/2015,57148,0,0,0,11.62
4/13/2015,57125,0,0,0,11.92
4/14/2015,57234,0,0,0,13.01
4/15/2015,57211,0,0,0,13.97
4/16/2015,57098,0,0,0,10.75
4/17/2015,56911,0,0,0,14.89
4/18/2015,56727,0,0,0,16.65
4/19/2015,56911,0,0,0,10.63
4/20/2015,56911,0,0,0,13.11
4/21/2015,56972,0,0,0,13.37
4/22/2015,56880,0,0,0,12.92
4/23/2015,56921,0,0,0,8.94
4/24/2015,56824,0,0,0,8.26
4/25/2015,56796,0,0,0,11.02
4/26/2015,56907,0,0,0,12.32
4/27/2015,56876,0,0,0,12.22
4/28/2015,56847,0,0,0,15.33
4/29/2015,56854,0,0,0,17.86
4/30/2015,56810,0,0,0,11.9
5/1/2015,56555,0,0,0,10.3
5/2/2015,56427,0,0,0,12.96
5/3/2015,56670,0,0,0,16.39
5/4/2015,56640,0,0,0,17.6
5/5/2015,56602,0,0,0,20.94
5/6/2015,56755,0,0,0,15.28
5/7/2015,56768,0,0,0,17.05
5/8/2015,56701,0,0,0,18.33
5/9/2015,56631,0,0,0,16.08
5/10/2015,56670,0,0,0,19.4
5/11/2015,56723,0,0,0,19.8
5/12/2015,56583,0,0,0,21.26
5/13/2015,56714,0,0,0,17.12
5/14/2015,56734,0,0,0,17.08
5/15/2015,56734,0,0,0,17.04
5/16/2015,56734,0,0,0,17.78
5/17/2015,56734,0,0,0,21.95
5/18/2015,56729,0,0,0,17.36
5/19/2015,56655,0,0,0,19.76
5/20/2015,56809,0,0,0,16.4
5/21/2015,56840,0,0,0,14.85
5/22/2015,56651,0,0,0,18.68
5/23/2015,56680,0,0,0,16.13
5/24/2015,56680,0,0,0,18.79
5/25/2015,56622,0,0,0,20.25
5/26/2015,56611,0,0,0,20.41
5/27/2015,56539,0,0,0,20.63
5/28/2015,56527,0,0,0,20.81
5/29/2015,56487,0,0,0,20.51
5/30/2015,56352,0,0,0,21.69
5/31/2015,56440,0,0,0,22.34
6/1/2015,56562,0,0,0,18.19
6/2/2015,56448,0,0,0,14.07
6/3/2015,56506,0,0,0,16.19
6/4/2015,56496,0,0,0,14.57
6/5/2015,56410,0,0,0,15.63
6/6/2015,56355,0,0,0,18.73
6/7/2015,56378,0,0,0,18.19
6/8/2015,56435,0,0,0,19.9
6/9/2015,56362,0,0,0,21.94
6/10/2015,56361,0,0,0,21.43
6/11/2015,56314,0,0,0,23.44
6/12/2015,56262,0,0,0,23.24
6/13/2015,56143,0,0,0,25.25
6/14/2015,56230,0,0,0,23.4
6/15/2015,56322,0,0,0,24.11
6/16/2015,56219,0,0,0,23.91
6/17/2015,56186,0,0,0,21.87
6/18/2015,56162,0,0,0,19.44
6/19/2015,56070,0,0,0,25.65
6/20/2015,56077,0,0,0,21.55
6/21/2015,56143,0,0,0,25.96
6/22/2015,56167,0,0,0,26.33
6/23/2015,56137,0,0,0,25.08
6/24/2015,56158,0,0,0,25.23
6/25/2015,56098,0,0,0,24.33
6/26/2015,55949,0,0,0,23.26
6/27/2015,55932,0,0,0,20.48
6/28/2015,55977,0,0,0,23.55
6/29/2015,55941,0,0,0,22.74
6/30/2015,55889,0,0,0,23.08
7/1/2015,55889,0,0,0,24.4
7/2/2015,55809,0,0,0,23.54
7/3/2015,55702,0,0,0,24.4
7/4/2015,55704,0,0,0,22.61
7/5/2015,55804,0,0,0,24.77
7/6/2015,55834,0,0,0,23.9
7/7/2015,55821,0,0,0,25.98
7/8/2015,55896,0,0,0,26.16
7/9/2015,55913,0,0,0,24.76
7/10/2015,55837,0,0,0,26.14
7/11/2015,55764,0,0,0,26.75
7/12/2015,55891,0,0,0,26.76
7/13/2015,55997,0,0,0,25.85
7/14/2015,55979,0,0,0,25
7/15/2015,56091,0,0,0,24.87
7/16/2015,56227,0,0,0,23.6
7/17/2015,56133,0,0,0,23.8
7/18/2015,55938,0,0,0,25.02
7/19/2015,56071,0,0,0,28.25
7/20/2015,56085,0,0,0,29.37
7/21/2015,56073,0,0,0,28.51
7/22/2015,56069,0,0,0,26.94
7/23/2015,55985,0,0,0,26.44
7/24/2015,55915,0,0,0,26.32
7/25/2015,55926,0,0,0,26.26
7/26/2015,56052,0,0,0,26.73
7/27/2015,56100,0,0,0,25.73
7/28/2015,56043,0,0,0,29.1
7/29/2015,56174,0,0,0,29.45
7/30/2015,56170,0,0,0,27.69
7/31/2015,55965,0,0,0,28.78
8/1/2015,55949,0,0,0,28.47
8/2/2015,56135,0,0,0,27.87
8/3/2015,56284,0,0,0,27.88
8/4/2015,56133,0,0,0,28.8
8/5/2015,56242,0,0,0,28.26
8/6/2015,56173,0,0,0,26
8/7/2015,56111,0,0,0,25.73
8/8/2015,56029,0,0,0,25.62
8/9/2015,56226,0,0,0,26.51
8/10/2015,56421,0,0,0,24.92
8/11/2015,56407,0,0,0,24.93
8/12/2015,56485,0,0,0,26.97
8/13/2015,56544,0,0,0,26.34
8/14/2015,56597,0,0,0,27.2
8/15/2015,56493,0,0,0,28.4
8/16/2015,56593,0,0,0,28.88
8/17/2015,56564,0,0,0,29.12
8/18/2015,56444,0,0,0,28.08
8/19/2015,56628,0,0,0,26.88
8/20/2015,56673,0,0,0,27.13
8/21/2015,56629,0,0,0,27.14
8/22/2015,56572,0,0,0,27.01
8/23/2015,56690,0,0,0,25.83
8/24/2015,56741,0,0,0,26.99
8/25/2015,56713,0,0,0,27.63
8/26/2015,56647,0,0,0,26.8
8/27/2015,56744,0,0,0,25.8
8/28/2015,56542,0,0,0,25.45
8/29/2015,56583,0,0,0,26.76
8/30/2015,56715,0,0,0,27.98
8/31/2015,56731,0,0,0,28.57
9/1/2015,56635,0,0,0,28.12
9/2/2015,56720,0,0,0,27.89
9/3/2015,56763,0,0,0,29.36
9/4/2015,56730,0,0,0,25.55
9/5/2015,56706,0,0,0,24.42
9/6/2015,56725,0,0,0,25.23
9/7/2015,56963,0,0,0,28.3
9/8/2015,56970,0,0,0,29.39
9/9/2015,56949,0,0,0,28.46
9/10/2015,57047,0,0,0,24.68
9/11/2015,57102,0,0,0,26.04
9/12/2015,56928,0,0,0,24.58
9/13/2015,57140,0,0,0,23.52
9/14/2015,57224,0,0,0,24
9/15/2015,57206,0,0,0,25.6
9/16/2015,57264,0,0,0,26.79
9/17/2015,57209,0,0,0,26.97
9/18/2015,57162,0,0,0,25.44
9/19/2015,57059,0,0,0,24.77
9/20/2015,57070,0,0,0,24.63
9/21/2015,57059,0,0,0,20.82
9/22/2015,57209,0,0,0,21.55
9/23/2015,57206,0,0,0,23.05
9/24/2015,57223,0,0,0,23.96
9/25/2015,57241,0,0,0,21.58
9/26/2015,57121,0,0,0,19.9
9/27/2015,57272,0,0,0,20.44
9/28/2015,57364,0,0,0,23.15
9/29/2015,57285,0,0,0,23.95
9/30/2015,57366,0,0,0,22.84
10/1/2015,57237,0,0,0,16.66
